"LinkIndec","Provincia","Partido","Localidad","Tecnologia","Accesos"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","ADSL","3.140"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","CABLEMODEM","3.499"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","DIAL UP","79"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","FIBRA OPTICA","8.777"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","SATELITAL","138"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","WIRELESS","831"
"6588030","BUENOS AIRES","9 de Julio","12 de Octubre","SATELITAL","2"
"6588030","BUENOS AIRES","9 de Julio","12 de Octubre","WIRELESS","19"
"6588010","BUENOS AIRES","9 de Julio","Alfredo Demarchi  (Est. Facundo Quiroga)","ADSL","450"
"6588010","BUENOS AIRES","9 de Julio","Alfredo Demarchi  (Est. Facundo Quiroga)","Otros","60"
"6588010","BUENOS AIRES","9 de Julio","Alfredo Demarchi  (Est. Facundo Quiroga)","SATELITAL","14"
"6588020","BUENOS AIRES","9 de Julio","Carlos María Naón","FIBRA OPTICA","62"
"6588020","BUENOS AIRES","9 de Julio","Carlos María Naón","SATELITAL","11"
"6588040","BUENOS AIRES","9 de Julio","Dudignac","SATELITAL","18"
"6588040","BUENOS AIRES","9 de Julio","Dudignac","WIRELESS","474"
"6588050","BUENOS AIRES","9 de Julio","La Aurora  (Est. La Niña)","SATELITAL","10"
"6588060","BUENOS AIRES","9 de Julio","Manuel B. Gonnet  (Est. French)","ADSL","193"
"6588060","BUENOS AIRES","9 de Julio","Manuel B. Gonnet  (Est. French)","FIBRA OPTICA","1"
"6588060","BUENOS AIRES","9 de Julio","Manuel B. Gonnet  (Est. French)","SATELITAL","16"
"6588070","BUENOS AIRES","9 de Julio","Marcelino Ugarte  (Est. Dennehy)","SATELITAL","6"
"6588080","BUENOS AIRES","9 de Julio","Morea","SATELITAL","9"
"6588080","BUENOS AIRES","9 de Julio","Morea","WIRELESS","130"
"6588090","BUENOS AIRES","9 de Julio","Norumbega","SATELITAL","10"
"0","BUENOS AIRES","9 de Julio","Otros","SATELITAL","57"
"6588110","BUENOS AIRES","9 de Julio","Patricios","ADSL","90"
"6588110","BUENOS AIRES","9 de Julio","Patricios","FIBRA OPTICA","2"
"6588110","BUENOS AIRES","9 de Julio","Patricios","SATELITAL","11"
"6588110","BUENOS AIRES","9 de Julio","Patricios","WIRELESS","50"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","FIBRA OPTICA","210"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","SATELITAL","14"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","WIRELESS","42"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","ADSL","505"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","CABLEMODEM","4.600"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","FIBRA OPTICA","2"
