"LinkIndec","Provincia","Partido","Localidad","Velocidad","Accesos"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","0","1"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","1","6"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","3","216"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","5","169"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","6","32"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","7","235"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","10","90"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","15","7.437"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","20","3.043"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","30","911"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","50","559"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","100","1.816"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","200","1"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","300","1.467"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","500","28"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","1000","15"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","226,5","137"
"6588030","BUENOS AIRES","9 de Julio","12 de Octubre","3","11"
"6588030","BUENOS AIRES","9 de Julio","12 de Octubre","226,5","2"
"6588010","BUENOS AIRES","9 de Julio","Alfredo Demarchi  (Est. Facundo Quiroga)","3","510"
"6588010","BUENOS AIRES","9 de Julio","Alfredo Demarchi  (Est. Facundo Quiroga)","226,5","14"
"6588020","BUENOS AIRES","9 de Julio","Carlos María Naón","20","62"
"6588020","BUENOS AIRES","9 de Julio","Carlos María Naón","226,5","11"
"6588040","BUENOS AIRES","9 de Julio","Dudignac","1","8"
"6588040","BUENOS AIRES","9 de Julio","Dudignac","3","36"
"6588040","BUENOS AIRES","9 de Julio","Dudignac","4","247"
"6588040","BUENOS AIRES","9 de Julio","Dudignac","6","46"
"6588040","BUENOS AIRES","9 de Julio","Dudignac","10","52"
"6588040","BUENOS AIRES","9 de Julio","Dudignac","226,5","18"
"6588050","BUENOS AIRES","9 de Julio","La Aurora  (Est. La Niña)","226,5","10"
"6588060","BUENOS AIRES","9 de Julio","Manuel B. Gonnet  (Est. French)","2","193"
"6588060","BUENOS AIRES","9 de Julio","Manuel B. Gonnet  (Est. French)","226,5","16"
"6588070","BUENOS AIRES","9 de Julio","Marcelino Ugarte  (Est. Dennehy)","226,5","6"
"6588080","BUENOS AIRES","9 de Julio","Morea","3","130"
"6588080","BUENOS AIRES","9 de Julio","Morea","226,5","9"
"6588090","BUENOS AIRES","9 de Julio","Norumbega","226,5","10"
"0","BUENOS AIRES","9 de Julio","Otros","226,5","57"
"6588110","BUENOS AIRES","9 de Julio","Patricios","3","50"
"6588110","BUENOS AIRES","9 de Julio","Patricios","15","90"
"6588110","BUENOS AIRES","9 de Julio","Patricios","30","2"
"6588110","BUENOS AIRES","9 de Julio","Patricios","226,5","11"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","3","42"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","15","89"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","20","92"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","30","21"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","50","7"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","100","1"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","226,5","14"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","0","2"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","1","7"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","2","1"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","3","106"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","0,5","2"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","5","1"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","6","48"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","10","295"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","12","336"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","14","2"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","15","252"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","20","153"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","25","84"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","30","2.058"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","40","13"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","50","1.297"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","80","6"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","100","1.515"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","300","94"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","500","3"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","226,5","224"
"6854010","BUENOS AIRES","25 de Mayo","Agustín Mosconi","12","21"
"6854010","BUENOS AIRES","25 de Mayo","Agustín Mosconi","20","10"
"6854010","BUENOS AIRES","25 de Mayo","Agustín Mosconi","226,5","10"
"6854020","BUENOS AIRES","25 de Mayo","Del Valle","3","181"
