"LinkIndec","Provincia","Partido","Localidad","Velocidad","Accesos"
"54119060","MISIONES","25 de Mayo","25 de Mayo","0","538"
"54119060","MISIONES","25 de Mayo","25 de Mayo","0,51","2"
"54119060","MISIONES","25 de Mayo","25 de Mayo","226,5","67"
"54119010","MISIONES","25 de Mayo","Alba Posse","10","36"
"54119010","MISIONES","25 de Mayo","Alba Posse","20","4"
"54119010","MISIONES","25 de Mayo","Alba Posse","226,5","14"
"54119025","MISIONES","25 de Mayo","Alicia Baja","10","78"
"54119025","MISIONES","25 de Mayo","Alicia Baja","226,5","3"
"54119020","MISIONES","25 de Mayo","Colonia Alicia","0","20"
"54119020","MISIONES","25 de Mayo","Colonia Alicia","10","96"
"54119020","MISIONES","25 de Mayo","Colonia Alicia","226,5","16"
"54119030","MISIONES","25 de Mayo","Colonia Aurora","0","10"
"54119030","MISIONES","25 de Mayo","Colonia Aurora","0,5","1"
"54119030","MISIONES","25 de Mayo","Colonia Aurora","10","164"
"54119030","MISIONES","25 de Mayo","Colonia Aurora","226,5","42"
"0","MISIONES","25 de Mayo","Otros","226,5","33"
"54119040","MISIONES","25 de Mayo","San Francisco de Asís","0","40"
"54119040","MISIONES","25 de Mayo","San Francisco de Asís","10","37"
"54119040","MISIONES","25 de Mayo","San Francisco de Asís","20","3"
"54119040","MISIONES","25 de Mayo","San Francisco de Asís","226,5","29"
"54119050","MISIONES","25 de Mayo","Santa Rita","0","150"
"54119050","MISIONES","25 de Mayo","Santa Rita","0,5","1"
"54119050","MISIONES","25 de Mayo","Santa Rita","10","75"
"54119050","MISIONES","25 de Mayo","Santa Rita","20","5"
"54119050","MISIONES","25 de Mayo","Santa Rita","226,5","30"
"54007010","MISIONES","Apóstoles","Apóstoles","1","126"
"54007010","MISIONES","Apóstoles","Apóstoles","2","3.530"
"54007010","MISIONES","Apóstoles","Apóstoles","3","130"
"54007010","MISIONES","Apóstoles","Apóstoles","0,5","1"
"54007010","MISIONES","Apóstoles","Apóstoles","6","221"
"54007010","MISIONES","Apóstoles","Apóstoles","10","486"
"54007010","MISIONES","Apóstoles","Apóstoles","15","193"
"54007010","MISIONES","Apóstoles","Apóstoles","20","6"
"54007010","MISIONES","Apóstoles","Apóstoles","25","56"
"54007010","MISIONES","Apóstoles","Apóstoles","30","4"
"54007010","MISIONES","Apóstoles","Apóstoles","50","25"
"54007010","MISIONES","Apóstoles","Apóstoles","100","11"
"54007010","MISIONES","Apóstoles","Apóstoles","226,5","149"
"54007020","MISIONES","Apóstoles","Azara","1","124"
"54007020","MISIONES","Apóstoles","Azara","2","24"
"54007020","MISIONES","Apóstoles","Azara","3","8"
"54007020","MISIONES","Apóstoles","Azara","0,5","1"
"54007020","MISIONES","Apóstoles","Azara","10","23"
"54007020","MISIONES","Apóstoles","Azara","15","5"
"54007020","MISIONES","Apóstoles","Azara","25","1"
"54007020","MISIONES","Apóstoles","Azara","226,5","31"
"54007025","MISIONES","Apóstoles","Barrio Rural","226,5","6"
"54007030","MISIONES","Apóstoles","Estación Apóstoles","226,5","6"
"0","MISIONES","Apóstoles","Otros","226,5","8"
"54007040","MISIONES","Apóstoles","Pindapoy","226,5","15"
"54007050","MISIONES","Apóstoles","Rincón de Azara","226,5","2"
"54007060","MISIONES","Apóstoles","San José","1","423"
"54007060","MISIONES","Apóstoles","San José","6","5"
"54007060","MISIONES","Apóstoles","San José","10","75"
"54007060","MISIONES","Apóstoles","San José","15","9"
"54007060","MISIONES","Apóstoles","San José","20","1"
"54007060","MISIONES","Apóstoles","San José","25","8"
"54007060","MISIONES","Apóstoles","San José","30","1"
"54007060","MISIONES","Apóstoles","San José","226,5","23"
"54007070","MISIONES","Apóstoles","Tres Capones","226,5","27"
"54014060","MISIONES","Cainguás","1º de Mayo","226,5","3"
"54014010","MISIONES","Cainguás","Aristóbulo del Valle","1","466"
"54014010","MISIONES","Cainguás","Aristóbulo del Valle","2","364"
