"LinkIndec","Provincia","Partido","Localidad","Tecnologia","Accesos"
"54119060","MISIONES","25 de Mayo","25 de Mayo","Otros","538"
"54119060","MISIONES","25 de Mayo","25 de Mayo","SATELITAL","69"
"54119010","MISIONES","25 de Mayo","Alba Posse","FIBRA OPTICA","40"
"54119010","MISIONES","25 de Mayo","Alba Posse","SATELITAL","14"
"54119025","MISIONES","25 de Mayo","Alicia Baja","SATELITAL","3"
"54119025","MISIONES","25 de Mayo","Alicia Baja","WIRELESS","78"
"54119020","MISIONES","25 de Mayo","Colonia Alicia","Otros","20"
"54119020","MISIONES","25 de Mayo","Colonia Alicia","SATELITAL","16"
"54119020","MISIONES","25 de Mayo","Colonia Alicia","WIRELESS","96"
"54119030","MISIONES","25 de Mayo","Colonia Aurora","Otros","10"
"54119030","MISIONES","25 de Mayo","Colonia Aurora","SATELITAL","43"
"54119030","MISIONES","25 de Mayo","Colonia Aurora","WIRELESS","164"
"0","MISIONES","25 de Mayo","Otros","SATELITAL","33"
"54119040","MISIONES","25 de Mayo","San Francisco de Asís","FIBRA OPTICA","15"
"54119040","MISIONES","25 de Mayo","San Francisco de Asís","Otros","40"
"54119040","MISIONES","25 de Mayo","San Francisco de Asís","SATELITAL","29"
"54119040","MISIONES","25 de Mayo","San Francisco de Asís","WIRELESS","25"
"54119050","MISIONES","25 de Mayo","Santa Rita","FIBRA OPTICA","30"
"54119050","MISIONES","25 de Mayo","Santa Rita","Otros","150"
"54119050","MISIONES","25 de Mayo","Santa Rita","SATELITAL","31"
"54119050","MISIONES","25 de Mayo","Santa Rita","WIRELESS","50"
"54007010","MISIONES","Apóstoles","Apóstoles","ADSL","850"
"54007010","MISIONES","Apóstoles","Apóstoles","CABLEMODEM","3.510"
"54007010","MISIONES","Apóstoles","Apóstoles","FIBRA OPTICA","244"
"54007010","MISIONES","Apóstoles","Apóstoles","SATELITAL","150"
"54007010","MISIONES","Apóstoles","Apóstoles","WIRELESS","188"
"54007020","MISIONES","Apóstoles","Azara","CABLEMODEM","10"
"54007020","MISIONES","Apóstoles","Azara","SATELITAL","32"
"54007020","MISIONES","Apóstoles","Azara","WIRELESS","175"
"54007025","MISIONES","Apóstoles","Barrio Rural","SATELITAL","6"
"54007030","MISIONES","Apóstoles","Estación Apóstoles","SATELITAL","6"
"0","MISIONES","Apóstoles","Otros","SATELITAL","8"
"54007040","MISIONES","Apóstoles","Pindapoy","SATELITAL","15"
"54007050","MISIONES","Apóstoles","Rincón de Azara","SATELITAL","2"
"54007060","MISIONES","Apóstoles","San José","ADSL","69"
"54007060","MISIONES","Apóstoles","San José","FIBRA OPTICA","1"
"54007060","MISIONES","Apóstoles","San José","SATELITAL","23"
"54007060","MISIONES","Apóstoles","San José","WIRELESS","452"
"54007070","MISIONES","Apóstoles","Tres Capones","SATELITAL","27"
"54014060","MISIONES","Cainguás","1º de Mayo","SATELITAL","3"
"54014010","MISIONES","Cainguás","Aristóbulo del Valle","CABLEMODEM","1.194"
"54014010","MISIONES","Cainguás","Aristóbulo del Valle","FIBRA OPTICA","1.325"
"54014010","MISIONES","Cainguás","Aristóbulo del Valle","SATELITAL","86"
"54014010","MISIONES","Cainguás","Aristóbulo del Valle","WIRELESS","2"
"54014020","MISIONES","Cainguás","Campo Grande","ADSL","4"
"54014020","MISIONES","Cainguás","Campo Grande","FIBRA OPTICA","783"
"54014020","MISIONES","Cainguás","Campo Grande","Otros","0"
"54014020","MISIONES","Cainguás","Campo Grande","SATELITAL","21"
"54014020","MISIONES","Cainguás","Campo Grande","WIRELESS","865"
"54014030","MISIONES","Cainguás","Dos de Mayo Núcleo I","FIBRA OPTICA","1.566"
"54014030","MISIONES","Cainguás","Dos de Mayo Núcleo I","SATELITAL","13"
"54014030","MISIONES","Cainguás","Dos de Mayo Núcleo II","SATELITAL","40"
"54014050","MISIONES","Cainguás","Dos de Mayo Núcleo III","SATELITAL","5"
"54014050","MISIONES","Cainguás","Dos de Mayo Núcleo III","WIRELESS","287"
"54014055","MISIONES","Cainguás","Kilómetro 17","SATELITAL","8"
"54014055","MISIONES","Cainguás","Nucleo I","SATELITAL","1"
"54014055","MISIONES","Cainguás","Nucleo Ii","SATELITAL","3"
"0","MISIONES","Cainguás","Otros","SATELITAL","23"
"54014070","MISIONES","Cainguás","Pueblo Illia","SATELITAL","5"
"54014070","MISIONES","Cainguás","Pueblo Illia","WIRELESS","83"
"54014080","MISIONES","Cainguás","Salto Encantado","CABLEMODEM","42"
"54014080","MISIONES","Cainguás","Salto Encantado","SATELITAL","44"
"54014080","MISIONES","Cainguás","Salto Encantado","WIRELESS","22"
"54021005","MISIONES","Candelaria","Barrio del Lago","SATELITAL","22"
"54021010","MISIONES","Candelaria","Bonpland","ADSL","21"
"54021010","MISIONES","Candelaria","Bonpland","SATELITAL","8"
"54021020","MISIONES","Candelaria","Candelaria","ADSL","401"
"54021020","MISIONES","Candelaria","Candelaria","CABLEMODEM","1"
"54021020","MISIONES","Candelaria","Candelaria","SATELITAL","65"
"54021030","MISIONES","Candelaria","Cerro Corá","SATELITAL","33"
"54021040","MISIONES","Candelaria","Loreto","SATELITAL","27"
"54021050","MISIONES","Candelaria","Mártires","Otros","13"
"54021050","MISIONES","Candelaria","Mártires","SATELITAL","14"
"54021050","MISIONES","Candelaria","Mártires","WIRELESS","3"
"54021060","MISIONES","Candelaria","Profundidad","SATELITAL","18"
"54021060","MISIONES","Candelaria","Profundidad","WIRELESS","3"
"54021070","MISIONES","Candelaria","Puerto Santa Ana","SATELITAL","11"
"54021080","MISIONES","Candelaria","Santa Ana","ADSL","73"
"54021080","MISIONES","Candelaria","Santa Ana","FIBRA OPTICA","662"
"54021080","MISIONES","Candelaria","Santa Ana","SATELITAL","40"
"54028005","MISIONES","Capital","Barrio Nuevo Garupa","SATELITAL","17"
"54028010","MISIONES","Capital","Garupá","ADSL","319"
"54028010","MISIONES","Capital","Garupá","CABLEMODEM","692"
"54028010","MISIONES","Capital","Garupá","FIBRA OPTICA","11.909"
"54028010","MISIONES","Capital","Garupá","SATELITAL","89"
"54028010","MISIONES","Capital","Garupá","WIRELESS","85"
"54028020","MISIONES","Capital","Nemesio Parma","SATELITAL","108"
"54028020","MISIONES","Capital","Nemesio Parma","WIRELESS","1"
"0","MISIONES","Capital","Otros","SATELITAL","30"
"54028030","MISIONES","Capital","Posadas","ADSL","2.225"
"54028030","MISIONES","Capital","Posadas","CABLEMODEM","51.376"
"54028030","MISIONES","Capital","Posadas","FIBRA OPTICA","61.620"
"54028030","MISIONES","Capital","Posadas","Otros","1"
"54028030","MISIONES","Capital","Posadas","SATELITAL","258"
"54028030","MISIONES","Capital","Posadas","WIRELESS","231"
"54028040","MISIONES","Capital","Posadas (Extensión)","SATELITAL","123"
"54035010","MISIONES","Concepción","Barra Concepción","SATELITAL","2"
"54035020","MISIONES","Concepción","Concepción de la Sierra","CABLEMODEM","458"
"54035020","MISIONES","Concepción","Concepción de la Sierra","FIBRA OPTICA","3"
"54035020","MISIONES","Concepción","Concepción de la Sierra","SATELITAL","40"
"54035020","MISIONES","Concepción","Concepción de la Sierra","WIRELESS","154"
"54035030","MISIONES","Concepción","La Corita","CABLEMODEM","12"
"54035030","MISIONES","Concepción","La Corita","SATELITAL","5"
"0","MISIONES","Concepción","Otros","SATELITAL","1"
"54035040","MISIONES","Concepción","Santa María","SATELITAL","12"
"54042040","MISIONES","Eldorado","9 de Julio","SATELITAL","5"
"54042050","MISIONES","Eldorado","9 de Julio Kilómetro 20","SATELITAL","23"
"54042010","MISIONES","Eldorado","Colonia Victoria","ADSL","1"
"54042010","MISIONES","Eldorado","Colonia Victoria","SATELITAL","14"
"54042020","MISIONES","Eldorado","Eldorado","ADSL","2.683"
"54042020","MISIONES","Eldorado","Eldorado","SATELITAL","489"
"54042020","MISIONES","Eldorado","Eldorado","WIRELESS","2"
"54042030","MISIONES","Eldorado","María Magdalena","SATELITAL","13"
"54042035","MISIONES","Eldorado","Nueva Delicia","SATELITAL","10"
"0","MISIONES","Eldorado","Otros","SATELITAL","4"
"54042055","MISIONES","Eldorado","Pueblo Nuevo","SATELITAL","4"
"54042060","MISIONES","Eldorado","Puerto Mado","SATELITAL","4"
"54042070","MISIONES","Eldorado","Puerto Pinares","SATELITAL","94"
"54042080","MISIONES","Eldorado","Santiago de Liniers","SATELITAL","47"
"54042080","MISIONES","Eldorado","Santiago De Liniers","WIRELESS","1"
"54042090","MISIONES","Eldorado","Valle Hermoso","SATELITAL","19"
"54042100","MISIONES","Eldorado","Villa Roulet","SATELITAL","28"
"54049010","MISIONES","General Manuel Belgrano","Almirante Brown","SATELITAL","81"
"54049020","MISIONES","General Manuel Belgrano","Bernardo de Irigoyen","FIBRA OPTICA","1"
"54049020","MISIONES","General Manuel Belgrano","Bernardo de Irigoyen","Otros","370"
"54049020","MISIONES","General Manuel Belgrano","Bernardo de Irigoyen","SATELITAL","38"
"54049025","MISIONES","General Manuel Belgrano","Caburei","SATELITAL","5"
"54049030","MISIONES","General Manuel Belgrano","Dos Hermanas","Otros","5"
"54049030","MISIONES","General Manuel Belgrano","Dos Hermanas","SATELITAL","9"
"54049040","MISIONES","General Manuel Belgrano","Integración","SATELITAL","3"
"0","MISIONES","General Manuel Belgrano","Otros","SATELITAL","17"
"54049043","MISIONES","General Manuel Belgrano","Piñalito Norte","SATELITAL","39"
"54049045","MISIONES","General Manuel Belgrano","Puerto Andresito","SATELITAL","5"
"54049047","MISIONES","General Manuel Belgrano","Puerto Deseado","SATELITAL","11"
"54049050","MISIONES","General Manuel Belgrano","San Antonio","SATELITAL","13"
"54056010","MISIONES","Guaraní","El Soberbio","Otros","520"
"54056010","MISIONES","Guaraní","El Soberbio","SATELITAL","135"
"54056010","MISIONES","Guaraní","El Soberbio","WIRELESS","687"
"54056020","MISIONES","Guaraní","Fracrán","SATELITAL","23"
"54056020","MISIONES","Guaraní","Fracrán","WIRELESS","98"
"0","MISIONES","Guaraní","Otros","SATELITAL","132"
"54056030","MISIONES","Guaraní","San Vicente","FIBRA OPTICA","3.972"
"54056030","MISIONES","Guaraní","San Vicente","Otros","20"
"54056030","MISIONES","Guaraní","San Vicente","SATELITAL","164"
"54056030","MISIONES","Guaraní","San Vicente","WIRELESS","1.574"
"54063010","MISIONES","Iguazú","Esperanza","ADSL","437"
"54063010","MISIONES","Iguazú","Esperanza","CABLEMODEM","2.000"
"54063010","MISIONES","Iguazú","Esperanza","FIBRA OPTICA","2"
"54063010","MISIONES","Iguazú","Esperanza","SATELITAL","205"
"54063010","MISIONES","Iguazú","Esperanza","WIRELESS","100"
"54063020","MISIONES","Iguazú","Libertad","ADSL","195"
"54063020","MISIONES","Iguazú","Libertad","SATELITAL","75"
"0","MISIONES","Iguazú","Otros","SATELITAL","58"
"54063030","MISIONES","Iguazú","Puerto Iguazú","ADSL","249"
"54063030","MISIONES","Iguazú","Puerto Iguazú","CABLEMODEM","29"
"54063030","MISIONES","Iguazú","Puerto Iguazú","FIBRA OPTICA","8.258"
"54063030","MISIONES","Iguazú","Puerto Iguazú","SATELITAL","447"
"54063035","MISIONES","Iguazú","Villa Cooperativa","SATELITAL","2"
"54063040","MISIONES","Iguazú","Wanda","ADSL","309"
"54063040","MISIONES","Iguazú","Wanda","FIBRA OPTICA","1"
"54063040","MISIONES","Iguazú","Wanda","SATELITAL","120"
"54070010","MISIONES","Leandro N. Alem","Almafuerte","Otros","1"
"54070010","MISIONES","Leandro N. Alem","Almafuerte","SATELITAL","10"
"54070010","MISIONES","Leandro N. Alem","Almafuerte","WIRELESS","2"
"54070020","MISIONES","Leandro N. Alem","Arroyo del Medio","SATELITAL","12"
"54070020","MISIONES","Leandro N. Alem","Arroyo del Medio","WIRELESS","2"
"54070030","MISIONES","Leandro N. Alem","Caá - Yarí","SATELITAL","6"
"54070030","MISIONES","Leandro N. Alem","Caá - Yarí","WIRELESS","1"
"54070040","MISIONES","Leandro N. Alem","Cerro Azul","CABLEMODEM","314"
"54070040","MISIONES","Leandro N. Alem","Cerro Azul","FIBRA OPTICA","10"
"54070040","MISIONES","Leandro N. Alem","Cerro Azul","Otros","15"
"54070040","MISIONES","Leandro N. Alem","Cerro Azul","SATELITAL","58"
"54070040","MISIONES","Leandro N. Alem","Cerro Azul","WIRELESS","131"
"54070050","MISIONES","Leandro N. Alem","Dos Arroyos","FIBRA OPTICA","2"
"54070050","MISIONES","Leandro N. Alem","Dos Arroyos","SATELITAL","16"
"54070060","MISIONES","Leandro N. Alem","Gobernador López","Otros","20"
"54070060","MISIONES","Leandro N. Alem","Gobernador López","SATELITAL","10"
"54070070","MISIONES","Leandro N. Alem","Leandro N. Alem","ADSL","243"
"54070070","MISIONES","Leandro N. Alem","Leandro N. Alem","CABLEMODEM","3.515"
"54070070","MISIONES","Leandro N. Alem","Leandro N. Alem","FIBRA OPTICA","33"
"54070070","MISIONES","Leandro N. Alem","Leandro N. Alem","Otros","127"
"54070070","MISIONES","Leandro N. Alem","Leandro N. Alem","SATELITAL","55"
"54070080","MISIONES","Leandro N. Alem","Olegario V. Andrade","SATELITAL","20"
"54070080","MISIONES","Leandro N. Alem","Olegario V. Andrade","WIRELESS","7"
"0","MISIONES","Leandro N. Alem","Otros","SATELITAL","2"
"54070090","MISIONES","Leandro N. Alem","Villa Libertad (Municipio Caá Yarí)","SATELITAL","1"
"54070090","MISIONES","Leandro N. Alem","Villa Libertad (Municipio Leandro N. Alem)","CABLEMODEM","60"
"54077010","MISIONES","Libertador Grl. San Martín","Capioví","ADSL","163"
"54077010","MISIONES","Libertador Grl. San Martín","Capioví","CABLEMODEM","554"
"54077010","MISIONES","Libertador Grl. San Martín","Capioví","SATELITAL","45"
"54077010","MISIONES","Libertador Grl. San Martín","Capioví","WIRELESS","597"
"54077015","MISIONES","Libertador Grl. San Martín","Capioviciño","SATELITAL","6"
"54077020","MISIONES","Libertador Grl. San Martín","El Alcázar","SATELITAL","22"
"54077030","MISIONES","Libertador Grl. San Martín","Garuhapé","ADSL","35"
"54077030","MISIONES","Libertador Grl. San Martín","Garuhapé","CABLEMODEM","779"
"54077030","MISIONES","Libertador Grl. San Martín","Garuhapé","SATELITAL","24"
"54077030","MISIONES","Libertador Grl. San Martín","Garuhapé","WIRELESS","42"
"54077040","MISIONES","Libertador Grl. San Martín","Mbopicuá","SATELITAL","8"
"0","MISIONES","Libertador Grl. San Martín","Otros","SATELITAL","8"
"54077050","MISIONES","Libertador Grl. San Martín","Puerto Leoni","SATELITAL","9"
"54077050","MISIONES","Libertador Grl. San Martín","Puerto Leoni","WIRELESS","363"
"54077060","MISIONES","Libertador Grl. San Martín","Puerto Rico","ADSL","3.331"
"54077060","MISIONES","Libertador Grl. San Martín","Puerto Rico","CABLEMODEM","1.640"
"54077060","MISIONES","Libertador Grl. San Martín","Puerto Rico","SATELITAL","207"
"54077060","MISIONES","Libertador Grl. San Martín","Puerto Rico","WIRELESS","67"
"54077070","MISIONES","Libertador Grl. San Martín","Ruiz de Montoya","ADSL","2"
"54077070","MISIONES","Libertador Grl. San Martín","Ruiz de Montoya","CABLEMODEM","297"
"54077070","MISIONES","Libertador Grl. San Martín","Ruiz de Montoya","SATELITAL","21"
"54077070","MISIONES","Libertador Grl. San Martín","Ruiz de Montoya","WIRELESS","48"
